"Facebook session does not exist.","Facebook session does not exist."
"This facebook user is not registered with this store.","This facebook user is not registered with this store."
"This facebook user is already registered with this store. Please log in!","This facebook user is already registered with this store. Please log in!"
"Facebook user? Use a form below","Facebook user? Use a form below"
"Fast sign up with Facebook","Fast sign up with Facebook"
"Email Address","Email Address"
"Password","Password"
"Confirm Password","Confirm Password"
"Sign Up for Newsletter","Sign Up for Newsletter"
"* Required Fields","* Required Fields"
"Register","Register"
"Fast login with Facebook","Fast login with Facebook"
"Have an account here and on Facebook? Click the button below to login.","Have an account here and on Facebook? Click the button below to login."
"Login","Login"
"Facebook Link","Facebook Link"
"Facebook Settings","Facebook Settings"
"Enabled","Enabled"
"API Key","API Key"
"Secret","Secret"
"Customer Wall update","Customer Wall update"
"Publish a post into the stream on the user's Facebook Page's Wall and News Feed.&lt;br /&gt;Available variables:&lt;br /&gt;&lt;b&gt;{items_count}&lt;/b&gt; - number of items purchased&lt;br /&gt;&lt;b&gt;{store_link}&lt;/b&gt; - link to your store","Publish a post into the stream on the user's Facebook Page's Wall and News Feed.&lt;br /&gt;Available variables:&lt;br /&gt;&lt;b&gt;{items_count}&lt;/b&gt; - number of items purchased&lt;br /&gt;&lt;b&gt;{store_link}&lt;/b&gt; - link to your store"
"Action Link text template","Action Link text template"
"Available variables:&lt;br /&gt;&lt;b&gt;{items_count}&lt;/b&gt; - number of items purchased&lt;br /&gt;&lt;b&gt;{item_name}&lt;/b&gt; - item name&lt;br /&gt;&lt;b&gt;{item_price}&lt;/b&gt; - item price","Available variables:&lt;br /&gt;&lt;b&gt;{items_count}&lt;/b&gt; - number of items purchased&lt;br /&gt;&lt;b&gt;{item_name}&lt;/b&gt; - item name&lt;br /&gt;&lt;b&gt;{item_price}&lt;/b&gt; - item price"
"Action Link template","Action Link template"
"Available variables:&lt;br /&gt;&lt;b&gt;{item_link}&lt;/b&gt; - link to the item purchased&lt;br /&gt;&lt;b&gt;{store_link}&lt;/b&gt; - link to your store","Available variables:&lt;br /&gt;&lt;b&gt;{item_link}&lt;/b&gt; - link to the item purchased&lt;br /&gt;&lt;b&gt;{store_link}&lt;/b&gt; - link to your store"
"Number of items to post","Number of items to post"
"0 - all items","0 - all items"
"You have to submit this form only once - we need to establish linking between your Facebook account and you account on our store. Future logins will be quick!","You have to submit this form only once - we need to establish linking between your Facebook account and you account on our store. Future logins will be quick!"
"Login","Login"
"Cancel","Cancel"
