"Ajax Pro","Ajax Pro"
"Continue shopping","Continue shopping"
"Go to Wishlist","Go to Wishlist"
"Are you sure you would like to remove this item from the shopping cart?","Are you sure you would like to remove this item from the shopping cart?"
"Are you sure you would like to remove this item from the compare products?","Are you sure you would like to remove this item from the compare products?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"View cart & checkout","View cart & checkout"
"Compare Items","Compare Items"
"center","Center"
"top","Top"
"bottom","Bottom"
"General","General"
"Location","Location"
"Opacity message form (0 - 1)","Opacity message form (0 - 1)"
"Add to Cart","Add to Cart"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Enabled","Enabled"
"Disable On Shopping Cart Page","Disable On Shopping Cart Page"
