"My Points and Rewards","My Points and Rewards"
"Points","Points"
"Point","Point"
"Not enough points for transaction. You have %s, but you need %s","Not enough points for transaction. You have %s, but you need %s"
"Sent points to a friend, ","Sent points to a friend, "
"Received points from a friend, ","Received points from a friend, "
"Not enough points for transaction. You have %s, but you need %s.","Not enough points for transaction. You have %s, but you need %s."
"No points.","No points."
"You received %s for signing up!","You received %s for signing up!"
"Could not transfer points.","Could not transfer points."
"Full","Full"
"Long","Long"
"Medium","Medium"
"Short","Short"
"You received %s for signing up to a newsletter","You received %s for signing up to a newsletter"
"Could not interface with customer rewards system.","Could not interface with customer rewards system."
"You received %s for voting","You received %s for voting"
"Please log in, or sign up to apply point redemptions!","Please log in, or sign up to apply point redemptions!"
"Unable to load the redeem points hash","Unable to load the redeem points hash"
"You will receive %s upon approval of this review","You will receive %s upon approval of this review"
"You received %s for sending your friend this product","You received %s for sending your friend this product"
"No points","No points"
"No Points","No Points"
"You will receive %s upon approval of this tag.","You will receive %s upon approval of this tag."
"Sorry, this feature is coming soon...","Sorry, this feature is coming soon..."
"We\'re in our typing table, coding away more features for Magento. Thank you for your patience.","We\'re in our typing table, coding away more features for Magento. Thank you for your patience."
"Magento Commerce - Administrative Panel","Magento Commerce - Administrative Panel"
"Log into Magento Admin Page","Log into Magento Admin Page"
"Forgot your user name or password?","Forgot your user name or password?"
"Email Address:","Email Address:"
"Back to Login","Back to Login"
"Retrieve Password","Retrieve Password"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Log in to Admin Panel","Log in to Admin Panel"
"User Name:","User Name:"
"Password:","Password:"
"Forgot your password?","Forgot your password?"
"Login","Login"
"Please wait...","Please wait..."
"Points Spent","Points Spent"
"Points Earned","Points Earned"
"as low as","as low as"
"with","with"
"Transfer Manager","Transfer Manager"
"<br /> You are awesome","<br /> You are awesome"
"Currency Manager","Currency Manager"
"Add Currency","Add Currency"
"Special Points Rules","Special Points Rules"
"Add New Special Rule","Add New Special Rule"
"Create New Transfer","Create New Transfer"
"--  --","--  --"
"Spends X Points","Spends X Points"
"Spends X points for every Y dollar amount in price","Spends X points for every Y dollar amount in price"
"[WARN:ALPHA] For every X points spent, discount Y from price","[WARN:ALPHA] For every X points spent, discount Y from price"
"--Don\'t Transfer Points--","--Don\'t Transfer Points--"
"Give X points to customer","Give X points to customer"
"For every Y dollar amount in price, give X points","For every Y dollar amount in price, give X points"
"Deduct X points from customer","Deduct X points from customer"
"For every Y amount spent, deduct X points","For every Y amount spent, deduct X points"
"For every Z qty purchased, deduct X points","For every Z qty purchased, deduct X points"
" For every X points spent, discount Y from price"," For every X points spent, discount Y from price"
"For every Y amount spent, give X points","For every Y amount spent, give X points"
"For every Z qty purchased, give X points","For every Z qty purchased, give X points"
"Writes review","Writes review"
"Rates a product","Rates a product"
"Signs up","Signs up"
"Votes in poll","Votes in poll"
"Sends product to friend","Sends product to friend"
"Signs up for a newsletter","Signs up for a newsletter"
"Makes a new tag","Makes a new tag"
"Points Distribution","Points Distribution"
"Points Redeemed on Order","Points Redeemed on Order"
"System Adjustment","System Adjustment"
"Points Received From a Friend","Points Received From a Friend"
"Points Given To a Friend","Points Given To a Friend"
"Points Revoked","Points Revoked"
"Administrative Adjustment","Administrative Adjustment"
"WARNING: UNSPECIFIED REASON","WARNING: UNSPECIFIED REASON"
"Order","Order"
"Review","Review"
"Poll","Poll"
"Tag","Tag"
"Rating","Rating"
"Transfer","Transfer"
"Signup","Signup"
"To Friend","To Friend"
"From Friend","From Friend"
"Newsletter","Newsletter"
"Cancelled","Cancelled"
"On Hold","On Hold"
"Pending","Pending"
"Approved","Approved"
"A valid redemption id to apply to this cart was not selected.","A valid redemption id to apply to this cart was not selected."
"The rule ","The rule "
"You do have have enough %s Points.","You do have have enough %s Points."
"The rule entitled ","The rule entitled "
"All requested reward redemptions were applied to your cart","All requested reward redemptions were applied to your cart"
"An error occured while trying to apply the redemption to your cart.","An error occured while trying to apply the redemption to your cart."
"All requested reward redemptions were removed from your cart","All requested reward redemptions were removed from your cart"
"An error occured while trying to remove the redemption from your cart.","An error occured while trying to remove the redemption from your cart."
"Please log in or sign up to apply point redemptions!","Please log in or sign up to apply point redemptions!"
"An item was not selected or the item selected was invalid","An item was not selected or the item selected was invalid"
"A valid redemption id to apply to this product was not selected.","A valid redemption id to apply to this product was not selected."
"All requested reward redemptions were applied to the product.","All requested reward redemptions were applied to the product."
"All requested reward redemptions were removed from the product.","All requested reward redemptions were removed from the product."
"Sorry, you are not authorized to be access this section.","Sorry, you are not authorized to be access this section."
"There is no customer with that email address (%s).","There is no customer with that email address (%s)."
"%s is not allowed to use the %s points currency.","%s is not allowed to use the %s points currency."
"You must log in or sign up before sending points to a friend!","You must log in or sign up before sending points to a friend!"
"You cannot send %s points to %s when you only have %s!","You cannot send %s points to %s when you only have %s!"
"You have successfully sent %s to %s!","You have successfully sent %s to %s!"
"Currency does not exist","Currency does not exist"
"Can not create currencies. Available in future upgrades of Sweet Tooth.","Can not create currencies. Available in future upgrades of Sweet Tooth."
"currency was successfully saved","currency was successfully saved"
"Unable to find post to save","Unable to find post to save"
"Can not delete currency. Available in future upgrades of Sweet Tooth.","Can not delete currency. Available in future upgrades of Sweet Tooth."
"Can not execute a mass delete","Can not execute a mass delete"
"Please select transfer(s)","Please select transfer(s)"
"Rule was successfully deleted","Rule was successfully deleted"
"Unable to find a page to delete","Unable to find a page to delete"
"This rule no longer exists","This rule no longer exists"
"New Rule","New Rule"
"Rule was successfully saved","Rule was successfully saved"
"Transfer does not exist","Transfer does not exist"
"Transfer was successfully saved","Transfer was successfully saved"
"Post was successfully deleted","Post was successfully deleted"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Add New Role","Add New Role"
"Roles","Roles"
"Roles Resources","Roles Resources"
"Resource Access","Resource Access"
"Custom","Custom"
"All","All"
"Resources","Resources"
"Role Users","Role Users"
"Edit User ","Edit User "
"Add New User","Add New User"
"User Roles","User Roles"
"Users","Users"
"Create Backup","Create Backup"
"Backups","Backups"
"Manage Products","Manage Products"
"Online Customers","Online Customers"
"Select Range","Select Range"
"No Data Found","No Data Found"
"Dashboard","Dashboard"
"Last 5 Orders","Last 5 Orders"
"Last 5 Search Terms","Last 5 Search Terms"
"Top 5 Search Terms","Top 5 Search Terms"
"No search keywords.","No search keywords."
"Your gift message successfully saved","Your gift message successfully saved"
"Your gift message successfully removed","Your gift message successfully removed"
"Are you sure?","Are you sure?"
"Edit","Edit"
"Add","Add"
"From","From"
"To","To"
"Message","Message"
"Google Base Items","Google Base Items"
"Available Products","Available Products"
"This content requires last version of Adobe Flash Player. <a href=","This content requires last version of Adobe Flash Player. <a href="
"critical","critical"
"major","major"
"minor","minor"
"notice","notice"
" and "," and "
"You have %s unread message(s). <a href=","You have %s unread message(s). <a href="
"unread message(s). <a href=","unread message(s). <a href="
"You have %s, %s and %s unread messages. <a href=","You have %s, %s and %s unread messages. <a href="
"Read details","Read details"
"Help Us Keep Magento Healthy - Report All Bugs","Help Us Keep Magento Healthy - Report All Bugs"
"Interface Locale: %s","Interface Locale: %s"
"Connect with the Magento Community","Connect with the Magento Community"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Magento ver. %s","Magento ver. %s"
"Magento Logo","Magento Logo"
"Log Out","Log Out"
"Loading...","Loading..."
"Global Record Search","Global Record Search"
"Get help for this page","Get help for this page"
"1 star","1 star"
"2 stars","2 stars"
"3 stars","3 stars"
"4 stars","4 stars"
"5 stars","5 stars"
"Please select one of each ratings above","Please select one of each ratings above"
"Rating isn","Rating isn"
