"Enter our great Raffle!","Enter our great Raffle!"
"Please enter a valid firstname","Please enter a valid firstname"
"Please enter a valid lastname","Please enter a valid lastname"
"Please enter a valid email address","Please enter a valid email address"
"You are already participating in this raffle","You are already participating in this raffle"
"There was a problem with the entry: %s","There was a problem with the entry: %s"
"Your raffle entry was successfull","Your raffle entry was successfull"
"First Name","First Name:"
"Last Name","Last Name:"
"Size","Size:"
"E-Mail Address","E-Mail Address:"
"enter","enter"
